#time, unixtime, spillnum, POT
2025/11/29/22:45, 1764423929, 6398164, 200795973164502.6
2025/11/29/22:45, 1764423930, 6398165, 200933494068365
2025/11/29/22:45, 1764423932, 6398166, 200496757810784.2
2025/11/29/22:45, 1764423933, 6398167, 200181650349989
2025/11/29/22:45, 1764423934, 6398168, 200983582584423.3
2025/11/29/22:45, 1764423936, 6398169, 200726135609535.2
2025/11/29/22:45, 1764423937, 6398170, 200578901429188.4
2025/11/29/22:45, 1764423938, 6398171, 201088532408435.9
2025/11/29/22:45, 1764423940, 6398172, 200963691651698.2
2025/11/29/22:45, 1764423941, 6398173, 200769387423683.8
2025/11/29/22:45, 1764423943, 6398174, 200406023166965.7
2025/11/29/22:45, 1764423944, 6398175, 200934538922806.2
2025/11/29/22:45, 1764423945, 6398176, 200549387516041.6
2025/11/29/22:45, 1764423947, 6398177, 201243622346259.2
2025/11/29/22:45, 1764423948, 6398178, 201056193518464.3
2025/11/29/22:45, 1764423949, 6398179, 200693371038123.8
2025/11/29/22:45, 1764423951, 6398180, 200516210162629
2025/11/29/22:45, 1764423952, 6398181, 200642353762560.8
2025/11/29/22:45, 1764423953, 6398182, 200273778133067.2
2025/11/29/22:45, 1764423955, 6398183, 200552909062497.7
2025/11/29/22:45, 1764423956, 6398184, 200846216473811.8
2025/11/29/22:45, 1764423957, 6398185, 200083188943068.5
2025/11/29/22:45, 1764423959, 6398186, 201516871132160.8
2025/11/29/22:46, 1764423960, 6398187, 200704335560052.2
2025/11/29/22:46, 1764423962, 6398188, 200562751333358.4
2025/11/29/22:46, 1764423963, 6398189, 201471426413627.5
2025/11/29/22:46, 1764423964, 6398190, 200521344138780.9
2025/11/29/22:46, 1764423966, 6398191, 200738015991529.1
2025/11/29/22:46, 1764423967, 6398192, 200814638650655.4
2025/11/29/22:46, 1764423968, 6398193, 201135808847105.9
2025/11/29/22:46, 1764423970, 6398194, 201221525609713.9
2025/11/29/22:46, 1764423971, 6398195, 200889042606521.7
2025/11/29/22:46, 1764423972, 6398196, 200864559474026.1
2025/11/29/22:46, 1764423974, 6398197, 201034316072359.6
2025/11/29/22:46, 1764423975, 6398198, 201020487875289.8
2025/11/29/22:46, 1764423977, 6398199, 199949447574413.3
2025/11/29/22:46, 1764423978, 6398200, 200662954164349
2025/11/29/22:46, 1764423979, 6398201, 200839070185400.2
2025/11/29/22:46, 1764423981, 6398202, 201020771662918.1
2025/11/29/22:46, 1764423982, 6398203, 200355637963843.1
2025/11/29/22:46, 1764423983, 6398204, 200499698882548.8
2025/11/29/22:46, 1764423985, 6398205, 201058063936913.1
2025/11/29/22:46, 1764423986, 6398206, 201006401689470.4
2025/11/29/22:46, 1764423987, 6398207, 200905902171416.8
2025/11/29/22:46, 1764423989, 6398208, 201063223711937.5
2025/11/29/22:46, 1764423990, 6398209, 200751328211094.4
2025/11/29/22:46, 1764423991, 6398210, 200154716324358.2
2025/11/29/22:46, 1764423993, 6398211, 200485535300105.8
2025/11/29/22:46, 1764423994, 6398212, 200447610953669.2
2025/11/29/22:46, 1764423996, 6398213, 200844333155925.6
2025/11/29/22:46, 1764423997, 6398214, 201926389576483
2025/11/29/22:46, 1764423998, 6398215, 201057599557160.4
2025/11/29/22:46, 1764424000, 6398216, 201110861334858
2025/11/29/22:46, 1764424001, 6398217, 200439071526001.6
2025/11/29/22:46, 1764424002, 6398218, 199570423400491.2
2025/11/29/22:46, 1764424004, 6398219, 200055081068617.8
2025/11/29/22:46, 1764424005, 6398220, 200710204804144.8
2025/11/29/22:46, 1764424006, 6398221, 200374896824125.2
2025/11/29/22:46, 1764424008, 6398222, 201081102332400
2025/11/29/22:46, 1764424009, 6398223, 201005821214780.6
2025/11/29/22:46, 1764424011, 6398224, 201295968263890.2
2025/11/29/22:46, 1764424012, 6398225, 201372965006705.9
2025/11/29/22:46, 1764424013, 6398226, 200920465636426.1
2025/11/29/22:46, 1764424015, 6398227, 200797817784073.9
2025/11/29/22:46, 1764424016, 6398228, 200767787893426.2
2025/11/29/22:46, 1764424017, 6398229, 200184346332441.6
2025/11/29/22:46, 1764424019, 6398230, 200881109452419.1
