#bin	ch	sum	cnt
81664	107	11.53559175	1
81669	8	10.19093139	1
81670	34	123.0688533	2
81666	2	11.22836503	1
81664	100	21.04858872	2
81665	268	43.16292744	2
81663	263	39.79118002	2
81671	113	56.30672252	3
81666	53	64.54583557	1
81663	155	26.42596682	2
81669	62	31.0057364	2
81669	79	70.62276757	1
81664	4	67.06561701	3
81669	63	38.94761027	2
81669	168	90.05313663	2
81669	123	195.8775876	5
81669	254	106.5820575	2
81671	16	22.78092361	2
81664	147	33.91346869	2
81663	6	10.0186139	1
81663	108	52.87571967	2
81671	103	90.19902303	4
81671	220	35.59740434	2
81669	260	11.3310208	1
81670	135	170.3021868	3
81662	235	11.62406283	1
81663	219	25.47612577	2
81666	0	62.19080483	1
81664	265	99.64194478	2
81668	5	28.34858466	2
81662	140	143.1213417	3
81663	78	10.48918743	1
81667	131	16.85580135	1
81669	194	54.71477971	3
81669	40	26.37467794	2
81665	142	22.84512412	1
81670	97	57.82134968	4
81667	69	78.70435652	7
81669	192	68.83526895	3
81662	14	83.73687823	2
81669	200	24.40765801	2
81670	194	22.90878848	1
81671	156	105.6418538	2
81662	145	60.59016588	2
81670	241	23.70118397	2
81668	118	29.0965078	2
81669	58	167.1102006	3
81669	66	51.77848495	4
81666	233	10.03093692	1
81666	78	29.10756499	2
81669	167	34.55507066	2
81662	193	202.2004738	14
81664	167	20.78576403	1
81662	244	22.24448331	2
81665	193	50.73388063	3
81662	10	128.0123858	3
81667	218	27.03094988	2
81666	265	10.1875657	1
81669	197	10.97415272	1
81666	12	10.41701444	1
81669	98	41.20910621	2
81663	65	10.3120455	1
81663	44	21.18394219	2
81669	110	83.7952038	2
81661	108	24.04396676	2
81668	206	11.54890495	1
81661	86	35.29340778	2
81668	18	10.20428584	1
81668	52	74.73302623	3
81662	252	26.69931694	1
81662	191	31.85640765	2
81669	89	39.00175996	2
81664	243	18.22680256	1
81667	264	58.42183664	2
81662	249	82.32355949	3
81664	163	32.64078718	2
81663	12	37.36288382	2
81668	157	39.65934932	2
81671	93	44.97922705	2
81669	31	21.89391375	2
81669	47	32.53490811	2
81669	130	12.19883906	1
81669	135	35.6444309	2
81666	116	11.9389289	1
81669	266	14.44027647	1
81669	139	28.61815402	1
81669	78	18.84299393	1
81668	83	62.25618101	5
81669	28	99.60040466	2
81665	252	19.79199936	1
81666	55	33.04494848	3
81664	77	21.7007313	2
81664	249	12.48160875	1
81668	89	18.87184725	1
81669	23	43.16604131	2
81667	130	16.74691128	1
81669	183	63.92368208	2
81668	193	132.1906777	11
81662	264	82.08743113	5
81670	5	60.60895035	3
81664	214	10.24769027	1
81663	193	153.4901894	13
81662	179	78.44203029	7
81662	58	18.72926296	1
81667	97	11.67344326	1
81669	127	20.62540101	2
81665	84	34.21753431	2
81661	242	140.6487024	4
81663	258	30.2756067	2
81662	267	45.60635141	2
81669	14	21.8306291	2
81663	104	56.05320001	3
81663	56	88.68143603	3
81664	119	26.79095522	2
81669	171	23.14415419	2
81662	87	28.32418462	1
81665	40	72.24436747	3
81663	182	33.2297984	2
81664	97	47.79695206	4
81662	11	37.5721084	2
81665	125	10.56403244	1
81662	240	71.20882415	2
81666	23	29.25816149	2
81664	38	34.30513802	2
81662	207	29.23679292	2
81669	264	51.6820906	2
81665	240	10.80224247	1
81668	112	11.39858591	1
81664	260	138.111668	8
81667	123	30.9806419	2
81665	69	130.7600986	10
81669	84	33.49278015	1
81663	162	53.10639568	4
81666	206	43.25734804	2
81666	9	34.19689024	2
81663	243	61.84999931	2
81669	219	53.91703276	2
81670	136	98.46104416	4
81663	264	42.13560588	2
81670	243	228.7010504	2
81662	60	22.41910309	2
81665	83	10.70728925	1
